Image,Category
data/dataset\dew\2208.jpg,dew
data/dataset\dew\2209.jpg,dew
data/dataset\dew\2210.jpg,dew
data/dataset\dew\2211.jpg,dew
data/dataset\dew\2212.jpg,dew
data/dataset\dew\2213.jpg,dew
data/dataset\dew\2214.jpg,dew
data/dataset\dew\2215.jpg,dew
data/dataset\dew\2216.jpg,dew
data/dataset\dew\2217.jpg,dew
data/dataset\dew\2218.jpg,dew
data/dataset\dew\2219.jpg,dew
data/dataset\dew\2220.jpg,dew
data/dataset\dew\2221.jpg,dew
data/dataset\dew\2222.jpg,dew
data/dataset\dew\2223.jpg,dew
data/dataset\dew\2224.jpg,dew
data/dataset\dew\2225.jpg,dew
data/dataset\dew\2226.jpg,dew
data/dataset\dew\2227.jpg,dew
data/dataset\dew\2228.jpg,dew
data/dataset\dew\2229.jpg,dew
data/dataset\dew\2230.jpg,dew
data/dataset\dew\2231.jpg,dew
data/dataset\dew\2232.jpg,dew
data/dataset\dew\2233.jpg,dew
data/dataset\dew\2234.jpg,dew
data/dataset\dew\2235.jpg,dew
data/dataset\dew\2236.jpg,dew
data/dataset\dew\2237.jpg,dew
data/dataset\dew\2238.jpg,dew
data/dataset\dew\2239.jpg,dew
data/dataset\dew\2240.jpg,dew
data/dataset\dew\2241.jpg,dew
data/dataset\dew\2242.jpg,dew
data/dataset\dew\2243.jpg,dew
data/dataset\dew\2244.jpg,dew
data/dataset\dew\2245.jpg,dew
data/dataset\dew\2246.jpg,dew
data/dataset\dew\2247.jpg,dew
data/dataset\dew\2248.jpg,dew
data/dataset\dew\2249.jpg,dew
data/dataset\dew\2250.jpg,dew
data/dataset\dew\2251.jpg,dew
data/dataset\dew\2252.jpg,dew
data/dataset\dew\2253.jpg,dew
data/dataset\dew\2254.jpg,dew
data/dataset\dew\2255.jpg,dew
data/dataset\dew\2256.jpg,dew
data/dataset\dew\2257.jpg,dew
data/dataset\dew\2258.jpg,dew
data/dataset\dew\2259.jpg,dew
data/dataset\dew\2260.jpg,dew
data/dataset\dew\2261.jpg,dew
data/dataset\dew\2262.jpg,dew
data/dataset\dew\2263.jpg,dew
data/dataset\dew\2264.jpg,dew
data/dataset\dew\2265.jpg,dew
data/dataset\dew\2266.jpg,dew
data/dataset\dew\2267.jpg,dew
data/dataset\dew\2268.jpg,dew
data/dataset\dew\2269.jpg,dew
data/dataset\dew\2270.jpg,dew
data/dataset\dew\2271.jpg,dew
data/dataset\dew\2272.jpg,dew
data/dataset\dew\2273.jpg,dew
data/dataset\dew\2274.jpg,dew
data/dataset\dew\2275.jpg,dew
data/dataset\dew\2276.jpg,dew
data/dataset\dew\2277.jpg,dew
data/dataset\dew\2278.jpg,dew
data/dataset\dew\2279.jpg,dew
data/dataset\dew\2280.jpg,dew
data/dataset\dew\2281.jpg,dew
data/dataset\dew\2282.jpg,dew
data/dataset\dew\2283.jpg,dew
data/dataset\dew\2284.jpg,dew
data/dataset\dew\2285.jpg,dew
data/dataset\dew\2286.jpg,dew
data/dataset\dew\2287.jpg,dew
data/dataset\dew\2288.jpg,dew
